"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_id ""PDENDC454_28525""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28525""; ",80.5580045539078,-2.29133543491708,0.566549442648941,-4.04436976268794,5.24640624937935e-05,0.00109442474551006
"gene_id ""PDENDC454_28305""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28305""; ",615.178170853162,-2.05416718715844,0.358230823150392,-5.73420000292956,9.79736673509217e-09,7.22320928332412e-07
"gene_id ""PDENDC454_27995""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_27995""; ",40.0340274592058,-1.23847256400963,0.358215435725132,-3.45734002640785,0.000545536032494705,0.00754775045472109
"gene_id ""PDENDC454_27723""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_27723""; ",45.214128696675,-1.40884734831091,0.460687870913951,-3.05813857333801,0.00222716560032672,0.0241179180300974
"gene_id ""PDENDC454_26748""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26748""; partial ""true""; ",1498.96578562173,-1.53923556253385,0.305865848638605,-5.03238779152663,4.84408140791572e-07,2.1546153832564e-05
"gene_id ""PDENDC454_26723""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26723""; ",354.779129316863,-1.66498192910073,0.280863500331591,-5.92808224327844,3.06492992981059e-09,2.7958394715662e-07
"gene_id ""PDENDC454_26393""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26393""; ",12347.0983878024,-2.48436837378761,0.336252929353894,-7.38839176378714,1.48615326829332e-13,3.07633726536717e-11
"gene_id ""PDENDC454_26398""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26398""; ",140.554714319296,-1.14332837396454,0.411139236392557,-2.78087876991844,0.00542119773875412,0.0488412108836675
"gene_id ""PDENDC454_26273""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26273""; ",122.959383003293,-2.07449792331536,0.48815532516001,-4.24966771106177,2.1408786702786e-05,0.000512098177930642
"gene_id ""PDENDC454_26178""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26178""; partial ""true""; ",731.039979799809,-1.66562079419337,0.359515904447027,-4.63295440783147,3.60483949525792e-06,0.000119760778786902
"gene_id ""PDENDC454_25853""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25853""; ",53.7499011937292,-3.93225345326347,0.778367480878784,-5.05192412306834,4.37381460460068e-07,1.97814035310596e-05
"gene_id ""PDENDC454_25721""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25721""; ",62.2245455856519,-1.89568850815125,0.397021665247188,-4.77477345467025,1.79909666767865e-06,6.6320125105798e-05
"gene_id ""PDENDC454_25451""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25451""; partial ""true""; ",2562.06082450772,-1.05919328093043,0.273713798896691,-3.86971093602119,0.000108964470574296,0.00200837938572213
"gene_id ""PDENDC454_25441""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25441""; partial ""true""; ",2670.07848036924,-1.36406862962174,0.328063081296032,-4.15794616155196,3.21121677754114e-05,0.000726166751963295
"gene_id ""PDENDC454_25446""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25446""; partial ""true""; ",1673.93737498248,-1.24768986688774,0.322224212686725,-3.87211704696064,0.000107894114405812,0.00199548496127862
"gene_id ""PDENDC454_25361""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25361""; ",87.149127227579,-1.04307200425106,0.330098732252739,-3.15987885543417,0.00157834750627804,0.0183898437935892
"gene_id ""PDENDC454_25134""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25134""; ",1288.29136176615,-1.1672189574503,0.294577420316563,-3.9623503939846,7.42155122710025e-05,0.00142145155531151
"gene_id ""PDENDC454_25139""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25139""; partial ""true""; ",4094.25215704172,-1.25308894539253,0.313127983570094,-4.00184273250053,6.28510706421199e-05,0.00126218082908914
"gene_id ""PDENDC454_24859""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24859""; partial ""true""; ",2681.65495166043,-1.03063026650432,0.273091692405064,-3.77393489134644,0.000160692715262844,0.0028079486803397
"gene_id ""PDENDC454_24814""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24814""; ",30.2468962398426,-1.40339839830862,0.485861957475379,-2.88847146131982,0.00387119155702355,0.0379503696901652
"gene_id ""PDENDC454_24248""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24248""; ",234.816394262664,-1.73354449578161,0.336189253797162,-5.15645421797905,2.51669979828163e-07,1.18814722055717e-05
"gene_id ""PDENDC454_24263""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24263""; ",153.476922200061,-1.81343073117452,0.453819030722089,-3.99593363964728,6.4439784350485e-05,0.00127182451324926
"gene_id ""PDENDC454_24268""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24268""; ",214.709497913828,-4.04819354307463,0.69211027607088,-5.84905857207652,4.94362998688459e-09,4.15728384209576e-07
"gene_id ""PDENDC454_24293""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24293""; ",60.5762146783075,-1.14463644525908,0.358622754837533,-3.19175632281794,0.00141410577670404,0.0169127050893803
