PDENDC454_17963	a852251512d32a93a9275451637889a1	241	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	10	25	-	T	18-06-2025	-	-	-	-
PDENDC454_17963	a852251512d32a93a9275451637889a1	241	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	26	30	-	T	18-06-2025	-	-	-	-
PDENDC454_17963	a852251512d32a93a9275451637889a1	241	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	9	28	-	T	18-06-2025	-	-	-	-
PDENDC454_17963	a852251512d32a93a9275451637889a1	241	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	31	241	-	T	18-06-2025	-	-	-	-
PDENDC454_17963	a852251512d32a93a9275451637889a1	241	SignalP_GRAM_POSITIVE	SignalP-TM	SignalP-TM	1	32	-	T	18-06-2025	-	-	-	-
PDENDC454_17963	a852251512d32a93a9275451637889a1	241	NCBIfam	TIGR04450	putative immunity/bacteriocin fusion bifunctional protein	12	240	1.7E-23	T	18-06-2025	IPR031032	Putative immunity protein/bacteriocin	-	-
PDENDC454_17963	a852251512d32a93a9275451637889a1	241	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	30	-	T	18-06-2025	-	-	-	-
PDENDC454_17963	a852251512d32a93a9275451637889a1	241	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	30	-	T	18-06-2025	-	-	-	-
PDENDC454_17963	a852251512d32a93a9275451637889a1	241	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	9	-	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	PIRSF	PIRSF002741	MppA	1	531	0.0	T	18-06-2025	IPR030678	Peptide/nickel binding protein, MppA-type	GO:0043190(InterPro)|GO:0055085(InterPro)	Reactome:R-HSA-1222538
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	22	6.0	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	Gene3D	G3DSA:3.90.76.10	-	52	205	0.0	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	Pfam	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	80	451	6.3E-111	T	18-06-2025	IPR000914	Solute-binding protein family 5 domain	-	Reactome:R-HSA-1222538
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	CDD	cd08493	PBP2_DppA_like	38	515	0.0	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	3	-	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	Gene3D	G3DSA:3.10.105.10	-	288	505	0.0	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	PANTHER	PTHR30290	PERIPLASMIC BINDING COMPONENT OF ABC TRANSPORTER	1	528	9.0E-118	T	18-06-2025	IPR039424	Solute-binding protein family 5	GO:0015833(PANTHER)|GO:1904680(PANTHER)	Reactome:R-HSA-1222538
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	16	20	-	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II	34	531	0.0	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	Gene3D	G3DSA:3.40.190.10	-	206	519	0.0	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	20	-	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	21	531	-	T	18-06-2025	-	-	-	-
PDENDC454_03040	8161e5a800ad44053f46dd78c2fd83fa	531	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	4	15	-	T	18-06-2025	-	-	-	-
