"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_id ""PDENDC454_28240""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28240""; ",594.564260276605,1.45653992347769,0.276518047427016,5.26743168133403,1.38345621239987e-07,7.22889450013212e-06
"gene_id ""PDENDC454_28245""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28245""; ",620.267967746068,1.49303387187088,0.285137408149402,5.23619079503095,1.63924499595365e-07,8.24524912917996e-06
"gene_id ""PDENDC454_28250""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28250""; ",1073.80438490837,1.27901279499886,0.358775022478544,3.56494380841507,0.00036393415029679,0.00547121116451767
"gene_id ""PDENDC454_28255""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28255""; ",657.508213858059,1.22007209935105,0.274518050866193,4.44441484085047,8.81314075171505e-06,0.000243242684747335
"gene_id ""PDENDC454_28190""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28190""; ",27.4913364889566,1.68738552302033,0.549068737644907,3.07317719500467,0.00211792687781602,0.0231210597493019
"gene_id ""PDENDC454_27408""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_27408""; ",275.038550350657,1.20560163396681,0.263920970217714,4.56804032272345,4.92305339201578e-06,0.00015315533731693
"gene_id ""PDENDC454_26993""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26993""; ",347.605054197137,1.02675598144293,0.248622663212065,4.12977629705121,3.63116379823814e-05,0.000814288481754904
"gene_id ""PDENDC454_26753""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26753""; partial ""true""; ",1106.90755717007,1.22184429716109,0.271620306564318,4.49835401710574,6.84815950495701e-06,0.000198154808901498
"gene_id ""PDENDC454_26638""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26638""; ",156.0992876272,1.07261075757171,0.25180122771984,4.2597518974972,2.04653942153763e-05,0.000496147530032232
"gene_id ""PDENDC454_26653""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26653""; ",2275.44436260602,1.23825489926683,0.249893192298574,4.95513658406252,7.22794980000812e-07,2.92487412207847e-05
"gene_id ""PDENDC454_26453""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26453""; ",59.2109253014438,2.50454758385657,0.42138717035876,5.94357816286683,2.78866684688427e-09,2.58769051205709e-07
"gene_id ""PDENDC454_26458""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26458""; ",24.1864867472902,1.7750101359661,0.576050361012437,3.08134541022842,0.00206067449062549,0.0226569698663163
"gene_id ""PDENDC454_26463""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26463""; ",59.4122863874549,1.40004548085251,0.325146043145611,4.30589733557213,1.66310180039111e-05,0.000414389531930785
"gene_id ""PDENDC454_26468""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26468""; ",28.3163578482458,1.87890770963842,0.641818099317618,2.92747697772325,0.00341724359400747,0.0345058255590023
"gene_id ""PDENDC454_26473""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26473""; ",149.105803836073,1.7535278677409,0.278513876648122,6.29601615849226,3.05392551814181e-10,3.73550616787255e-08
"gene_id ""PDENDC454_26478""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26478""; ",315.666212214843,1.31844418775842,0.236866930309709,5.56618091868934,2.60382904893036e-08,1.59643941355332e-06
"gene_id ""PDENDC454_26483""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26483""; ",406.111386437697,1.72732050916876,0.224559932559798,7.69202452761157,1.44824844829661e-14,3.89723657436617e-12
"gene_id ""PDENDC454_26133""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26133""; partial ""true""; ",173.550833187384,1.31169233604481,0.353649516449132,3.70901775637937,0.000208064838005567,0.00346688841531257
